客戶代號	客戶名稱	電話	傳真	價格傳真/備註	客戶統編
AHH190	成安(原金廚)190	02-82867798	02-82867797		
AHH190-001	成安門市(原金廚)	02-82867798	02-82867797		
AHH190-002	金廚190-工地	02-82867798	02-82867797		
AHH190-003	鉅盛工地--金廚	02-82867798	02-82867797		
AHI191	漢廚-191(先收錢才做)	03-3293500	03-3293502	要付全額才能下單	
AHI191-1	漢廚-李建達191-1	0975-718-598		要付全額才能下單	
AHJ192	采麗-(采驊)192AHJ	"02-26751686
 02-26836855"	02-26751687		
AHK193	伊斯達-193	0983-129-313			
AHL194	元崧-194	02-25362345	02-25367010		
AHM195	優勝-195	"工廠：06-2714519
 門市：06-2210215"	06-2712052		
AHN196	原點空間設計-196(已倒店)	02-28372555	02-28377766	已倒店	
AHO197	捷晴-197	03-5341185~6	03-5349313		
AHP198	威廉-198	02-27932491	02-27934679		
AHQ199	凱勤-199AHQ	03-3275350	03-3275348	一律收尾裝台製提籠,進口提籠收起來(沒收尾需回報)	
AHQ199-001	凱勤+村誠建設	03-3275350	03-3275348		
AHQ199-003	凱勤+門市店樣	勿刪沖帳用			
					
AHQ199-002	業主-凱勤				
AHQ199-004	鉌田建設-凱勤				
AHR200	博西-200	02-89780999	02-26579988		
AHS201	馬雅特-201				
AHT202	好利家-202	07-3438817	07-3455169		
AHU203	藝橋-203	02-29179809	02-29189555		
AHV204	德寶-204AHV(此號不要用)	02-27512131	02-27512010	#N/A	
AHV204-001	安宇-204(德寶)AHV	02-27512131	02-27512010	廚具用這個抬頭	
AGV204-002	豐傑生醫(股)-唐先生				35*29.5
AHW205	克麗斯-205AHW	02-25043737	02-25175040	無電梯搬運費 3F起算	
AHW205-006	業主-克麗斯				
AHX206	竹興-206	02-22181100	02-22183077	(先收款再出貨)	
AHY208	全鴻-208AHY	037-277368	037-279259		
AHY208-001	業主維修(全鴻)				
AHZ207	興格-207AHZ	02-26209610	02-26202678		
AIA209	建都-209				
AIB210	巨量-(和成-承德)210	02-25581658	02-25585988		
AIC211	益昌211AIC	02-89285139	02-89286939	蘇老闆	
AIC211-01	益昌兒子211-01AIC	02-22312555	02-22313111	櫻花系統 蘇老闆大小兒子(結帳對益昌)	
AID212	德邑-212	07-7172168	07-7166816		
AIE213	和築-213	02-86261235	02-86262907		
AIF214	崧江-214	02-26809633	02-26802160		
AIG215	合野(撰美)-215AIG	02-22781199	02-22781159		
AIG215-002	合野木業(門市)	02-22781199			
AIH216	德爵國際-216	04-36095025	04-24529257		
AII217	阡荷-217	02-27055123	02-27055223		
AIJ218	喜恩-218	02-26867398	02-26757536		
AIK219-取消	愛菲爾-經國店-219	03-5220227	03-5268703	取消	
AIL220	弦鉅設計-220	02-82602021	02-22600288		
AIM221	傑立-221AIM	03-3558958	03-3558676		
AIM221-01	傑立-周先生221-01	0989-653-212			
AIM221-02	傑立-曾先生221-02	0955-591-840			
					
AIM221-004	黃伊民-傑立AIM221-04				
AIN222	樊小姐-222	0936-588-055	02-88094168		
AIO223	歐迪亞-223	06-2555357	06-2477092		
AIP224	恆菓設計-224	03-6587983	03-6587985		
AIQ225	斯美特-225	02-22762866	02-22763887		
AIR226	建新-226	02-22772250	02-22772325		
AIS227	吉富-227	02-29047795	02-29047834		
AIT228	朝陽-228AIT	02-2619-1066	02-2619-1067		
AIU229	晉亨(紅舍)-229	07-6318-118	07-6311-995		
AIV230	愛菲爾南崁-采邑幸福空間230AIV	03-2120809	03-3116967		
AIW231	喬霖-231AIW	037-255035早上	037-250062	03-7688989下午電話	
					
AIX232	興航實業(股)-232AIX	03-3241746	03-3245070		
AIY233	金泰-233AIY	02-22791677	02-29934469	水槽做大斜邊	
AIZ234	美樂家-234	04-25361399	04-25363008		
AJA235	僕人建築空間-235	03-4533886	03-4533843		
AJB236	慶豐生活館-236	02-26715288	02-26719288	徐S	
AJC237	佳德-237	02-26181610	02-26182033		
AJD238	克拉斯-238	03-3161166	03-3586970	水槽做大斜邊+檯面61深	
AJE239	長晏-239	06-2632323	06-2630307		
AJF240	天佑-240	02-26081828	02-26081829		
AJG241	巧婦人-德盟南投店-241	04-92993969	04-92997887		
AJH242	比登-242	02-29007075	02-29007096		
AJI243	曼亞-243	03-4566639	03-4566539	水槽做大斜邊	
AJI243-001	跟業主收款(曼亞)	為了沖帳用			
AJJ244	雅格-244	02-29348150	02-29356741		
AJK245	愛菲爾中壢店(奇恩)-245AJK	03-4379770	03-4372458		
AJL246	晶瀚-246AJL	03-3678338	03-3679825	水槽爐子餘料保留	
AJL246-001	業主維修+晶瀚	沖帳用			
AJM247	日日旺-247	04-22110900	04-22120288		
AJN248	雅藝-248AJN	03-5572868	03-5572858	見光磨5mmR角  *水龍頭 照原稿*	
AJN248-002	業主維修+雅藝	沖帳用			
AJO249	光華-249AJO	02-23215488	02-33931469		
AJP250	玖大-泰興250	02-22171672 玖02-82751905	02-22170380	02-22754695	
AJQ251	歐坊251	02-26583638	02-26583885		
AJR252	宜美252	03-3765376	03-3765668		
AJS253	奇沃253AJS	02-29315518	02-29313386		
AJT254	齊心設計254	02-35017653	02-89706513		
AJU255	永成255AJU	03-9606152~3	03-9508074	酷媽防蟑-對圖要問	
AJU255-001	業主維修+永成				
AJV256	您好256	02-2821-5559	02-28219142		
AJW257	傑紅257AJW	03-3285591	03-3285593	112-06-05搬家	
AJX258	人穎258AJX	037-471178	037-465476		
AJY259	茲榆259	02-28381016	02-28381025		
AJZ260	鼎豐260	02-2293-3291	02-82926634		
AKA261	京御坊261	02-82732517	02-22621308		
AKB262	家和262	02-27914872	02-27945372		
AKC263	偉辰263AKC	02-26187309	02-26187308		
AKD264	鑫家-愛菲爾-酷媽264	037-320826	037-326882		
AKE265	永聖(義彩)265AKE	02-27972737	02-27976337		
AKF266	博斯266	02-25284928	02-25284927		
AKG267	晶旺267	02-26465190	02-26465290		
AKH268	宣美268AKH	03-3667788	03-3675859	龍頭底部要墊石材	
AKI269	美加家居269AKI	02-82522683	02-82522681		
AKJ270	奈斯270AKJ	03-4880057	03-4880067		
AKK271	好家271	02-22700031	02-22700713	要收尾	
AKL272	東昇272	02-3233-3456	02-2231-3399		
AKM273	元大273	04-2533-3398	04-2534-8521		
AKN274	昌杰274	03-3180363	03-3180365		
AKO275	東櫥275	03-5618877	03-5617979		
AKP276	斯美家276AKP	02-28361766	02-28361768		
AKQ277	鋒龍277	03-937-1858	03-937-1665		
AKR278	辰翰278	02-2908-1250	02-2908-1370		
AKS279	可風工程279	02-27396048	02-27396088		
AKT280	鋒懋280	02-2736-3304	02-27373479		
AKU281	健康281	037-377980	037-377970		
AKV282	高華282	08-7537180	08-7512591		
AKW283	盛達283	02-22114198	02-22111651		
AKX284	燦博284	06-2781588	06-2782997		
AKY285	彎櫥285	02-29098805	02-29099057	水槽做大斜邊	
AKZ286	維也納286	2947-8890	2941-9965		
ALA287	寶隆尼287	0928-234-851	02-2731-7898		
ALB288	新寶288	03-3269922	03-3283290		
ALC289	薇格289	02-22762790	02-22762670		
ALD290	和岳豐290	02-26462119	"02-26463116公
 02-27978396住"		
ALE291	藝想家居(小白)291	03-5588681	03-5588682		
ALF292	原創292	02-26089061~2	02-26089063		
ALG293	橙風293ALG	0917-066-366	02-25584012		
ALG293-001	橙風門市	0917-066-366	02-25584012		
ALH294	歐特利294	04-26781088	04-2687-6088		
ALI295	和美295	03-3333338	03-3333237		
ALJ296	陽光美林296	02-2603-4738	02-2603-4155		
ALK297	金門日盛297	082-331964	082-332438		
ALL298	歐斯康298ALL	02-26959591	02-26956130		
ALM299	新思299	02-25771089	02-25787053		
ALN300	新石牌300	02-28215813			
ALO301	慶聯301(1141127峻砷說拒絕往來戶)	04-22471313/04-25371313(廠)	04-25370381	04-22471234	
ALP302	豪葳302	07-6166947	07-6166949		
ALQ303	台中德盟303	04-25282577	04-25224723		
ALR304	德奧304	02-87525006	02-87523488		
ALS305	原砌-阿文305	02-25000267	02-25000276		
ALT306	日昌306	02-26814519	02-26827346		
ALU307	采鋒307ALU	02-86723541	02-86726401	0925-761-771	
ALV308	悅聖308	02-26015241	02-26014331		
ALW309	千昱309	02-26187936	02-26187938		
ALY311	里昂311	02-29096689	02-29098088		
ALZ312	東溙312	02-22978898	02-22978998		
ALS312-01	東固312-01	02-29090773			
AMA313	原想313AMA	02-27527755	02-27520055		
AMB314	綠意314	02-89941188	02-89945072		
AMC315	原明315AMC	03-3673058~9	03-3672822		
AMD316	安家316	03-5554222	03-5538652		
AME317	禾久317	02-82510938	02-22531931		
AMF318	宏欣318	02-22974520	02-22971253		
AMG319	鴻基傢俱319	03-3274946	03-3274851		
AMH320	億客320	02-2682-2176	02-2682-2196	莊R,許S	
AMI321	禾陽321	02-26181230	02-26181378	02-26181378	
AMJ322	博儀322				
AMJ322-01	陳文彥-博儀322-01	0936-194-237	02-22408384		
AMK323	欣和光323	0955-159-168	03-3220911		
AML324	勤龍324	03-5537755	03-5537722		
AMM325	清禾設計325	02-27423957	02-27423958		
AMN326	嚮耀326	02-22773944	02-29935887		
AMO327	思維設計327	04-23205720			
AMP328	零二設計328AMP	02-27928398	atelier02@gmail.com		
AMQ329	定永329	02-22935520	02-22933033		
AMR330	吉姆廚具330		02-29299850	0910-380-797	
AMS331	興富發331	02-27555899	02-27555988		
AMT332	普拉爵332	0921-987-262	02-87322689		
AMU333	信昌廚具333	03-9601609	03-9500529	水槽爐子餘料保留	
AMV334	宇豐堂334	03-4786328	03-4883126	客戶要餘料/水槽特殊下崁	
AMW335					
AMX336	遠企336AMX	02-29680002	兩份02-29675555		
AMX336-1	遠企-黃士瀚336-1AMX	0984-466-052			
AMX336-000	遠企保留款	沖帳用勿刪			
AMX336-001	遠企-竹城宇治	為了沖帳編的-勿刪			
AMX336-002	遠企-竹城建設+甲子園	為了沖帳編的-勿刪			
AMX336-003	遠企-麗江樂芙	為了沖帳編的-勿刪			
AMX336-004	遠企-清大御璽	為了沖帳編的-勿刪			
AMX336-005	業主維修(遠企)	為了沖帳編的-勿刪			
AMX336-006	遠企-竹城明治	為了沖帳編的-勿刪			
AMX336-007	遠企-富都欣	為了沖帳編的-勿刪			
AMX336-008	遠企-寶聚	為了沖帳編的-勿刪			
AMX336-009	遠企-徐匯棧	為了沖帳編的-勿刪			
AMX336-010	業主維修(遠企)	為了沖帳勿刪			
AMX336-011	遠企-花園綻	為了沖帳編的-勿刪			
AMX336-012	遠企-金雅路+竹慶建設	為了沖帳編的-勿刪			
AMX336-013	遠企-三重永福街+東村建設	為了沖帳編的-勿刪			
AMX336-014	遠企-八方藝墅	為了沖帳編的-勿刪			
AMX336-015	遠企-竹慶建設-金農路	為了沖帳編的-勿刪			
AMX336-016	遠企-金叡建設	為了沖帳編的-勿刪			
AMX336-017	遠企-佳宸建設	為了沖帳編的-勿刪			
AMX336-018	遠企-欣樸綻	為了沖帳編的-勿刪			
AMX336-019	遠企-金玖建設	為了沖帳編的-勿刪			
AMX336-020	遠企-竹城玉川	為了沖帳編的-勿刪			
AMX336-021	遠企-弘盛建設	為了沖帳編的-勿刪			
AMX336-022	遠企-竹慶同理	為了沖帳編的-勿刪			
AMX336-023	遠企-金叡-竹慶建設	為了沖帳編的-勿刪			
AMX336-025	竹城善捷段龜山-遠企	為了沖帳編的-勿刪			
AMX336-026	竹城建設晴川-水汴一路(遠企)				
AMX336-027	竹城中州(遠企)	為了沖帳編的-勿刪			
AMX336-029	冠軍營造-鶯桃路(遠企	為了沖帳編的-勿刪			
AMX336-030	豐采建業(南雅路)	為了沖帳編的-勿刪			
AMX336-030-01	吉晟建設(仁安街)遠企	為了沖帳編的-勿刪			
AMX336-028	富晟科技新生北路	為了沖帳編的-勿刪			
AMX336-031	廚房先生336-031AMX	Line群	Line群		
AMX336-031-01	業主維修(遠企)	為了沖帳編的-勿刪			
AMX336-030-02	頂富建設(遠企)	為了沖帳編的-勿刪			
AMX336-030-03	竹城建設豐洲(遠企)	為了沖帳編的-勿刪			
AMY337	力晶337	04-23392911	04-23390150		
					
AMZ338	伊凡338	02-26752733	02-26752732		
ANA339	昕程339	04-22153209	萱/伊雯line	陳先生0933542754	
ANB340	特力屋-北區物流340ANB	02-26799615	02-26798176	★若有搬運上樓，需收樓層費★	
ANB340-001	特力屋-中南區340-001ANB	08-7519616黃小姐	08-7512102	中區出貨徐R0932-631-562 南區施S	
ANB340-002	特力屋-北區340-002ANB	02-87916668	02-87911449		
ANB340-003	特力屋-中區340-003ANB	04-25348815	04-25347280	林小姐	
ANB340-007	紙本發票(特力屋)	為了沖帳用勿刪			
ANB340-008	業主-特力屋				
ANB340-009	差異帳-特力屋				
ANB340-010	門市擺樣				
ANC341	庭瑞341	02-82005880	02-82005881		
AND342	威尼可實業有限公司	02-23770909	02-23774889		
ANE343	維鴻343	02-82950019	02-22951911		
ANF344	賀順344	03-5316871	03-5316831		
ANG345	魔幻廚房(熊爸爸)345	02-25991276	02-25971039	Clean up	
ANH346	上華346	02-28385258	02-28385259		
ANI347	龍潭愛菲爾347(雅格)ANI	03-4801169	03-4800269		
ANI347-002	匠壕-龍潭門市				
ANJ348	群義348	02-2231-2559	02-2231-2586		
ANK349	裕傢廚具工廠349ANK	02-86303700	(LINE)02-86301382	廖小姐	
ANL350	鈅龍350	02-26942928	02-26942927		
ANM351	維豐351	02-22708657	02-22739395		
ANN352	歐美佳352(改名為永競)	02-26649512	02-26646729		
ANO353	石秀(雅登-苗栗)353ANO	037-366600	037-370986	矽利康要用防霉的	
ANP354	北極熊354	02-29310585	02-29310565		
ANQ355	愛菲爾經國(新竹)店355ANQ	03-5220227	03-5268703		
ANQ355-001	愛菲爾永安店(鴻舍)355-001ANQ	03-368-6608	03-368-6625		
ANQ355-002	愛菲爾板橋店355-002ANQ	02-82510598	02-82511395		
ANQ355-003	愛菲爾新莊店355-003ANQ	02-89932288		黃先生0988-530-623	
ANQ355-004	愛菲爾新店店355-004ANQ	02-22116888	02-22118099	洪先生	
ANQ355-005	愛菲爾竹南店355-005ANQ	037-551-501	037-550-328		
ANQ355-006	愛菲爾中和店355-006ANQ	02-86687336	02-86687335		
ANQ355-007	愛菲爾平鎮店355-007ANQ	03-4939971-2	03-4939973		
ANQ355-008	愛菲爾民生店355-008ANQ	02-25362255	02-25363377		
ANQ355-009	愛菲爾竹北店355-009ANQ(899BIK)	03-5502089	03-6582758		
ANQ355-010	愛菲爾蘆洲店355-010ANQ	02-22884659	02-82856941		
ANQ355-011	愛菲爾新板特區355-011ANQ	02-89535922	02-89645955		
ANQ355-012	愛菲爾埔墘店355-012ANQ	02-29520003	02-29522600	童詩穎0927-009-000	
ANQ355-013	愛菲爾永和店355-013ANQ	02-29235177	02-29235077	朱喬安0916-591-899	
ANQ355-012-S	門市埔墘店355-012ANQ	沖帳用			
ANR356	築邑室內設計有限公司356	03-3601939	03-3601935		
ANS357	珍綋357	07-7902169	07-7902163		
ANS357-001	業主維修+珍綋	沖帳用			
ANT358	木匠358	莊先生0932-133-238	02-89933255		
ANU359	宏潮359	02-26003989			
ANV360	鈺明360ANV	02-29584847	02-29547276	周太太0916-157-903	
ANV360-002	鈺明門市				
ANV360-001	業主維修(鈺明)				
ANW361	帝廚361	04-27073157	04-27073159		
ANX362	奇米362	02-23253245	02-23253329		
ANY363	名展363ANY	03-4363583	03-4363582	"何先生0989-035147
前沿都做斜角"	
ANZ364	雅光364	02-27965858	02-27965878		
AOA365	景漾365	03-3778634	03-3758255		
AOB366	雅居366	06-2661064	06-2669550		
AOC367	松華367	02-25517700	02-25517280		
AOD368	貴妃368	06-598-3588	06-597-0340		
AOE369	久保田-369AOE	03-954-4055	03-956-5840		
AOF370	生格設計370AOF	02-27736266	02-27727525		
AOG371	金湛設計371	03-3381735	03-3344154		
AOH372	台灣康勵372AOH	03-4791000	03-4790112		
AOI373	溫馨373AOI	03-4851960	03-4851961		
AOJ374	首閣設計374	02-267733382	02-26784616	鄭R0939-158-815	
AOK375	大友375	05-2226284	05-2243007	0972-018-402	
AOL376	龍瑩376	02-89702766	02-35017557		
AOM377	一間設計377	02-25636060	02-29436091	陳S0937-467-692	
AON378	邑品378AON	0958-581-488		江先生	
AOO379	美佳利379	03-3891047	03-3906430	張先生0935-261-417	
AOP380	桃園優室380AOP	03-2205511	03-2206611		
AOQ381	程沃381	02-29188689	02-29188685		
AOR382	瑋鉅382	02-22737525		莊小姐0952-977-525	
AOS383	喜萊登383	02-87883186	02-87894069	吳坤寶0932-035-104	
AOT384	好事通384	03-2115596	02-22365990	孟憲政0933-039881	
AOU385	鴻鼎385	02-22972245	02-22970821	李甫汶0986-008-441	
AOV386	遠泰386AOV	02-25988149	02-25989304		
AOW387	泳美387	03-4900908	03-4201690		
AOX388	鑫盈388	0917-261-543	03-3211482	吳存達0917-261-543	
AOY389	雄鋒廚具389	08-7967779	08-7962002		
AOZ390	泳欣390	03-4851212	03-4851919		
APA391	鼎軒391	02-28319436	82853650	郭R0958-268-550	
APB392	嬌妻-楊梅392	03-4757516	03-4856378		
APC393	新台豐393	03-3590800		鄭S0919-957-729	
APD394	家康家具394	02-85312681	02-85312682		
APE395	卓林設計395	02-29900077	02-29929731		
APF396	高登徠396APF	02-87717213	(傳LINE)02-27116050	需收尾、一律對紋價 .不要金牌	
APF396-001	門市-高登徠門市				
APG397	台灣儷寶397APG	02-22915404	02-22911072		
APH398	立詮398APH	02-29878877	LINE群		
APH398-002	業主維修				
API399	里安399	02-27183280	02-27183285		
APJ400	楷立400	02-85311377	02-85317182		
APK401	太丞設計401	03-5724699	03-5723053		
APL402	天釧402APL	陳's0919-335-131	斌line	陳's0919-335-131	
APL402-S	門市天釧				
APM403	新亞403	0958-011-555			
APN404	弘展404	02-29222022	02-86608288		
APO405	翰創405	02-29018199	02-29088095	謝R0926-747-033	
APO405-01	翰創-二手商行405-01	0935-624-956	02-23684094		
APP406	觀鼎設計(帥易)406	03-5311947	03-5337698		
APQ407	湧銓木業407APQ	03-5561348	03-5560348	不要附金牌 需收尾	
APQ407-001	業主維修(湧銓)				
APR408	克里夫408	02-27611961	02-27615601		
APS409	正大廚具409	03-3201814	03-3500046		
APT410	陵廣410	02-29219917	02-29210582		
APU411	現代廚具衛浴411	"02-27364380
 02-27363450"	02-27322308		
APV412	雨果工程412	02-27033355	02-27030506	陳S0921-214-425	
APW413	默契空間設計413APW	03-6672182	03-6673782	回簽只認邱先生	
APW413-002	默契-吳小姐				
APW413-003	業主維修-默契				
APX414	金禾414	04-25380708	04-25380109		
APY415	根木415APY	03-4936631	03-4029646		
APZ416	全久營造416	03-3705789	03-3705759		
AQA417	理想人生417AQA	03-3633521	03-3633639	takara	
AQB418	羽洋418	02-86856618	02-86856618		
AQB420	澄樂420	02-29900602	02-29900603		
AQC419	鉅馥419AQC	02-2292-5577	02-2292-5532		
AQC419-001	鉅馥門市				
AQF421	博德421AQF	03-3841666	03-3854120		
AQG422	雅緻422	03-7671161	03-7683435		
AQH423	笙馥423	02-82921928-9	02-8292-1927		
AQI424	致捷424	02-27382692	02-27386616		
AQJ425	貝斯特425	03-4015080	03-4010976		
AQK426	承暉426	03-3250458	03-3136076		
AQL427	惠宇427	02-85311678	02-85311567		
AQM428	愛菲爾-新店(清騰)428AQM	02-29189333	02-29189660	105.04.11改電話,以後都用這支電話	
AQN429	選和(前梵伊登)429	05-3701385			
AQN429-001	選和				
AQO430	昕昇430AQO	02-89510826	02-22210051	水槽凸0.2	
AQP431	恆泰431AQP	02-27985638	02-27985627	收全額才能下單	
AQP431-002	恆泰(工地)	為了沖帳用勿刪			
AQQ432	查理432	0936-271-703	02-26835342		
AQR433	煌朝433AQR	02-26187580	02-26187590		
AQS434	A&I建築設計434	03-5588885-6	03-5588883		
AQT435	億安435AQT	02-29297730	Line群	收尾 + 爐子紙箱帶回	
AQT435-001	業主(維修)-億安	沖帳用勿刪			
AQU436	奇郲436AQU	02-28239097	02-28218849	!!!龍頭底部要墊石材	
AQV437	禾旺437AQV	02-26107779	02-26104779		
AQW438	雋凱438AQW	037-613153	037-613593		
AQX439	綠筑-武慶門市439	07-7139981	07-7169981		
AQY440	北海廚具440	02-29754356	02-29729342		
AQZ441	吉昌櫥櫃441	03-5593548	03-5574436		
ARA442	品果442ARA	03-4570780	03-4580572		
ARA442-1	品果442-1桃園店	03-3336678	03-3356689		
ARB443	鋐川櫥櫃443	0921-801-224	02-86856618		
ARC444	磐石444ARC	02-27850772	02-27856623		
ARD445	明清445	02-27203298			
ARE446	台灣廚具446ARE	03-9229262	03-9229263		
ARF447	臻力(台灣綠鄰三民店)447	03-3310301	03-3312716		25*30
ARG448	雲端設計448	0920-520-882	03-5202710		
ARH449	明美廚櫃449ARH	02-2602-7722	02-2602-1722		
ARI450	優貝斯450	02-25118752	02-25118753		
ARJ451	萊薇廚具451ARJ	02-26013331	02-26016551		
AJR451-000	門市+萊薇	02-26013331	02-26016551		
ARK452	麗福名廚452	02-89918353	02-89919810	02-89919810	
ARL453	新夢想453ARL	02-22919891	02-22919893		
ARM454	米克454ARM	02-29328648	02-29327712		
ARN455	文禮455	02-22979116	02-22979326		
ARO456	億群456	02-28571598	02-28571618		
ARP457	淞陽457ARP	03-4072878	03-4072778	孫先生0919-916757	
ARQ458	一澤458ARQ	02-22981000	02-22981020	02-22981010主管傳真	
ARR459	奕德櫥具459	05-2251970	05-2223206		
ARS460	茂邑衛廚460ARS	02-25991858	02-25992333		
ART461	格陵461	03-3895815	03-3895881		
ARU462	人工室內裝修462	02-25168300	02-25156211		
ARV463	仕虹463ARV	02-25911224	02-25911450	業務林r 0987-356898	
ARW464	三合464ARW	02-85315926	02-85315922		
ARW464-002	業主維修(三合)				
ARX465	致高465ARX	03-3274639	03-3274813		
ARY466	臻奇466ARY	02-28102250	02-28102248		
ARY466-001	業主維修(臻奇)				
ARZ467	迪諾467ARZ	02-25026000	02-25006655	隔熱墊全交給業務處理	
ARZ467-001	丰嶺建設龜山段(迪諾)	為了沖帳勿刪	為了沖帳勿刪		
ASA468	卡萊登468	02-26950599	02-26951070		
ASB469	宏淇469	03-5557317	03-5557327		
ASC470	名屋(愛家)470	03-4634698-9	03-4355222		
ASD471	彩舍(旗艦店)471	02-24280920	02-24252762		
ASE472	郁禾設計472	0975-705-853	03-5337670		
ASF473	雅魯473ASF	03-5505558	03-5505557		
ASG474	僑御474	02-89518519	02-89518690		
ASH475	雅典娜475	03-4531578	03-4531911		
ASI476	歐士476(華欣)ASI	02-22127022	02-22112561		
ASI476-001	業主-歐士				
ASJ477	冠昕477	05-5351159	05-5351169		
ASK478	楓彩478	02-25860355	02-25860377		
ASL479	意匠家479ASL	02-26780575	02-26704711		
ASM480	盛塘(歐廚)480	04-25626125～6	04-25622875		
ASN481	濱瑪481	03-2161296	03-2160971		
ASO482	益聖482	03-3759333	03-3749333		
ASP483	九兆483	02-26108321	02-26108421		
ASQ484	景緻484	03-6685911	03-7683435	劉'R0910-519-696	
ASR485	大發485		02-27011367		
ASS486	錸馬斯特486	02-86633350	02-86633370		
AST487	青禾487	02-29005558	02-29005556		
ASU488	合美488	02-29685077	02-29685099		
ASV489	益萊489	02-2602-7223	02-26027281		
ASW491	陸暘491ASW	03-6581666	03-6581598		
ASX492	吾思國際492ASX	02-2368-5166	02-2368-5176	劉欣 0930-475-727	
ASY493	易而美493ASY	03-3613823	03-3633155		
ASY493-002	易而美創意室內-發票抬頭	沖帳用勿刪			
ASZ494	修梵494	02-86671800	02-86671700		
ATA495	安庭495	02-25329275	02-25329260		
ATB496	海勒496	03-9328088	03-9328077	水槽都做斜邊(賽麗石除外)	
ATC497	橄欖樹497	02-22887749	02-22888495		
ATD498	頡合498	02-27193088	02-27193089		
ATE499	鈺禮499	02-26706295	02-26781097		
ATF500	柏德500ATF	02-32340777	(LINE為主，不傳真)02-32340555	皆須收尾/圖面LINE群組	
ATF500-002	門市店樣(柏德)				
ATF500-001	業主收款				
ATG501	富方501	02-86933709	02-8693-2405		
ATH502	國揚502ATH	03-4850495	03-4853520		
ATI503	佰澺503	03-3231291	03-3231251	王'R0935-345-443	
ATJ504	歐匠504ATJ	03-5509788	03-5505672		
ATK505	雅第505	03-9353033	03-9353219		
ATL506	雨辰506ATL	02-86751937	02-86751949		
ATM507	欣樂507ATM	葉先生0955139359  02-28851245	02-28859726	提籠要打矽利康	
ATM507-01	門市欣樂				
ATN508	正邦508ATN	02-26955408	02-26958679		
ATO509	歐德509ATO	02-28831108	02-28836238	林小姐0973-651-656	
ATP510	邑林510ATP	03-4617782	03-4617782	0936-633-357	
ATQ511	齊岩設計511	02-26095046	02-26097535		
ATR512	永暉廚具512ATR	02-22028309	02-22041608	廖先生.黃小姐	
ATR512-002	業主維修(永暉)	為了沖帳勿刪			
ATS513	奧士歐室內設計513	02-29103605	02-29103607		
ATT514	歐築514ATT	02-29311380		崔天龍0980-131-133	
ATU515	金和515	02-86305077	02-86303320	蔡先生0918-977-401	
ATV516	鴻騏516	02-2943-0498	02-8668-8196	蕭漢傑0933-914-245	
ATW517	楙得517ATW	03-6684158	03-6684997	Clean up	
ATX518	六匠制作518	03-3907243	03-3907525	江韻文0937-112-163	
ATY519	寬逸設計519ATY	02-27995776*12	02-27990779	王冠閔0978-637-101	
ATZ520	建庭廚具520	02-26106399	02-86301377	張月華0928-560-579	
AUA521	言溢歐化521	02-26815545	02-26815546		
AUB522	原器設計522	02-27722280	02-27722180	顧先生0933-851-568	
AUC523	康洲工程523AUC	03-960-5373	03-960-5348	吳武洲0958-629-668	
AUD524	第凡設計524AUD	02-25795907	02-25793285	吳先生0932-213-445	
AUE525	茗匠525AUE	03-6572323	03-6572133	蕭錡又0958-200-355	
AUE525-001	茗匠-店樣				
AUF526	喻皓工務-積木526AUF	03-5505583	03-5506083	吳先生 0911-483-800	
AUG527	愛之衛527AUG	02-2282-0555	02-2282-2503		
AUH528	朗璟設計工程528	02-22103307		陳小姐0912-197-876	
AUI529	康庭529AUI	02-89210880	02-89210881	陸小姐0928-243-352	
AUI529-001	居庭工程有限公司				
AUI529-002	康庭-陸小姐529-002AUI	0928-243-352			
AUJ530	立昕設計530	02-25091011*105	02-25091022	林先生0953-010-905	
AUK531	三梘設計531AUK	02-23633800	02-22347091	陳威穎0921-664-490	
AUL532	興寶廚具532AUL	02-26793255	02-26705255	秦先生0953-329-396	
AUM533	信誼533	02-25012404~5	02-25012406		
AUN534	勝寓企業534	07-3522489	07-35189420		
AUO535	居易535	02-28100979	02-28100886		
AUP536	澤新536	02-25772650	02-25772750		
AUQ537	築辰537	02-25719911	02-25713535		
AUR538	雅非凡538AUR	02-28581826	02-28581660		
AUS539	上盈石材539	02-27282261	02-27282262		
AUT540	禾羚設計540	03-2830033	03-2830505		
AUU541	天合541AUU	03-9505757	03-9601507	謝'S 斜角 陳'S 圓角	
AUU541-002	業主-天合	沖帳用勿刪			
AUU541-003	謝小姐-天合				
AUU541-004	天力門市	沖帳用勿刪			
AUV542	勤祥542	02-86710858	02-86710859	李小姐0989-850-119	
AUW543	阿諾克543	02-82955277	02-82955287	林俊呈0937-030-240	
AUX544	星寶廚具544	03-9354351	03-9362628		
AUY545	昇陽545	02-28482880	02-22888068		
AUZ546	吉豪546	02-27298449	02-87804763	許世虎0928-827-228	
AVA547	歐櫥-羅東547	03-9577877	03-9558279	吳皓0987-400-351	
AVA547-01	歐櫥-宜蘭547-01	03-9253920	03-9251019		
AVB548	澄美548AVB	03-3350862	03-3350863	電話對圖打門市	
AVB548-000	澄美門市	03-3350862	03-3350863		
AVC549	汶羲549AVC	02-28825613	02-28825618	楊鎮福0936-042-372	30*15
AVD550	科勒550	02-25818196*159	02-25818193	郭怡妏0921-565-451	
AVE551	悅安551AVE	02-82588580	02-82588560	clean up 龍頭下方需墊石材	
AVE551-003	業主維修(悅安)				
